dM,dP,dS,dO,target
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0.3333333333333333
0,0,0,0,0.6666666666666666
0,-70.75,16.5,0,1
0,-25.75,-5.5,0,0
0,48.25,16.5,0,0.3333333333333333
0,48.25,-27.5,0,0.6666666666666666
0,-10.75,11,0,1
0,-93.75,-11,0,0
0,-25.75,11,0,0.3333333333333333
0,130.25,-11,0,0.6666666666666666
0,-2.75,0,0,1
0,-103.75,-22,0,0
0,-17.75,0,0,0.3333333333333333
0,124.25,22,0,0.6666666666666666
0,29.25,-5.5,0,1
0,-26.75,-5.5,0,0
0,-85.75,16.5,0,0.3333333333333333
0,83.25,-5.5,0,0.6666666666666666
0,83.25,17.5,0,1
0,27.25,-4.5,0,0
0,-134.75,-30.5,0,0.3333333333333333
0,24.25,17.5,0,0.6666666666666666
0,51.25,27.75,0,1
0,12.25,30.75,0,0
0,-167.75,-42.25,0,0.3333333333333333
0,104.25,-16.25,0,0.6666666666666666
0,114.25,25.25,0,1
0,71.25,28.25,0,0
0,-219.75,-37.75,0,0.3333333333333333
0,34.25,-15.75,0,0.6666666666666666
0,145.25,1.75,0,1
0,-28.75,-17.25,0,0
0,-181.75,54.75,0,0.3333333333333333
0,65.25,-39.25,0,0.6666666666666666
0,141.75,-40.75,0,1
0,-26.25,-0.75,0,0
0,-179.25,89.25,0,0.3333333333333333
0,63.75,-47.75,0,0.6666666666666666
0,170.25,-9.75,0,1
0,232.25,-82.75,0,0
0,-267.75,120.25,0,0.3333333333333333
0,-134.75,-27.75,0,0.6666666666666666
0,42.5,10,0,1
0,321.5,-132,0,0
0,-142.5,72,0,0.3333333333333333
0,-221.5,50,0,0.6666666666666666
0,-19.75,27.75,0,1
0,410.25,-92.25,0,0
0,-105.75,-3.25,0,0.3333333333333333
0,-284.75,67.75,0,0.6666666666666666
0,122.25,36.75,0,1
0,199.25,-125.25,0,0
0,43.25,53.75,0,0.3333333333333333
0,-364.75,34.75,0,0.6666666666666666
0,-222.75,-28,0,1
0,88.25,-6,0,0
0,43.25,14,0,0.3333333333333333
0,91.25,20,0,0.6666666666666666
0,-188.5,6,50,1
0,246.5,28,50,0
0,-59.5,-88,-50,0.3333333333333333
0,1.5,54,-50,0.6666666666666666
25,-186.5,22.5,75,1
-75,228.5,-19.5,-25,0
25,-42.5,-25.5,-25,0.3333333333333333
25,0.5,22.5,-25,0.6666666666666666
50,-25,65.25,0,1
-150,166,-53.75,0,0
50,-98,-28.75,0,0.3333333333333333
50,-43,17.25,0,0.6666666666666666
50,-63,47.25,75,1
-150,33,-47.75,-25,0
50,-144,-22.75,-25,0.3333333333333333
50,174,23.25,-25,0.6666666666666666
-175,-62,101.25,75,1
75,143,-65.75,-25,0
275,-25,-40.75,-25,0.3333333333333333
-175,-56,5.25,-25,0.6666666666666666
-250,-25.75,61.75,125,1
100,92.25,-134.25,-75,0
300,-80.75,106.75,25,0.3333333333333333
-150,14.25,-34.25,-75,0.6666666666666666
-175,61,44.25,225,1
-125,89,-177.75,125,0
375,-124,89.25,-25,0.3333333333333333
-75,-26,44.25,-325,0.6666666666666666
-150,-188.5,-38.75,-112.5,1
-200,380.5,-109.75,237.5,0
400,-140.5,97.25,87.5,0.3333333333333333
-50,-51.5,51.25,-212.5,0.6666666666666666
-150,-73.25,-27,-75,1
-200,267.75,-93,-75,0
400,-256.25,103,225,0.3333333333333333
-50,61.75,17,-75,0.6666666666666666
-150,-130.75,73.25,-225,1
-200,208.25,-311.75,375,0
400,-87.75,163.25,75,0.3333333333333333
-50,10.25,75.25,-225,0.6666666666666666
-150,-116.5,106.25,-225,1
-200,-20.5,-322.75,-225,0
400,124.5,152.25,-225,0.3333333333333333
-50,12.5,64.25,675,0.6666666666666666
-487.5,12,113.25,-87.5,1
-87.5,15,-385.75,262.5,0
512.5,-70,159.25,-87.5,0.3333333333333333
62.5,43,113.25,-87.5,0.6666666666666666
-487.5,-42.5,91.75,-237.5,1
-87.5,-55.5,-327.25,912.5,0
512.5,94.5,97.75,-337.5,0.3333333333333333
62.5,3.5,137.75,-337.5,0.6666666666666666
-487.5,151.5,65,-112.5,1
-87.5,-79.5,-242,237.5,0
512.5,-83.5,71,87.5,0.3333333333333333
62.5,11.5,106,-212.5,0.6666666666666666
-375,106,52,50,1
-425,-6,-243,50,0
625,-100,98,-50,0.3333333333333333
175,0,93,-50,0.6666666666666666
-375,14.25,56.75,12.5,1
-425,10.25,-238.25,162.5,0
625,-78.75,78.75,-87.5,0.3333333333333333
175,54.25,102.75,-87.5,0.6666666666666666
-262.5,-166.25,133.5,275,1
-762.5,-9.25,-264.5,-25,0
737.5,-30.25,60.5,-125,0.3333333333333333
287.5,205.75,70.5,-125,0.6666666666666666
-462.5,-30,108.5,75,1
-762.5,15,-189.5,-25,0
837.5,-120,34.5,-25,0.3333333333333333
387.5,135,46.5,-25,0.6666666666666666
-462.5,-196.75,64,-25,1
-762.5,69.25,-106,275,0
837.5,-59.75,15,-125,0.3333333333333333
387.5,187.25,27,-125,0.6666666666666666
-462.5,-168.25,53.5,25,1
-762.5,101.75,-116.5,125,0
837.5,-29.25,4.5,-75,0.3333333333333333
387.5,95.75,58.5,-75,0.6666666666666666
-437.5,-194,53.5,0,1
-837.5,79,-116.5,100,0
862.5,61,4.5,100,0.3333333333333333
412.5,54,58.5,-200,0.6666666666666666
-237.5,-379,150.25,-450,1
-1437.5,116,-278.75,-50,0
1062.5,-46,58.25,250,0.3333333333333333
612.5,309,70.25,250,0.6666666666666666
-287.5,-262.75,132.75,-425,1
-1487.5,215.25,-312.25,75,0
1112.5,-154.75,83.75,-125,0.3333333333333333
662.5,202.25,95.75,475,0.6666666666666666
-237.5,-194.75,141.5,150,1
-1837.5,-37.75,-378.5,250,0
1262.5,165.25,88.5,-50,0.3333333333333333
812.5,67.25,148.5,-350,0.6666666666666666
-162.5,-124.25,-86.5,350,1
-1762.5,13.75,-211.5,-50,0
1037.5,-24.25,109.5,-150,0.3333333333333333
887.5,134.75,188.5,-150,0.6666666666666666
-162.5,-128.75,-12,-25,1
-1762.5,-109.75,-181,75,0
1037.5,108.25,78,-25,0.3333333333333333
887.5,130.25,115,-25,0.6666666666666666
-162.5,-235.75,-24,-250,1
-1762.5,-2.75,-135,-150,0
1037.5,226.25,62,650,0.3333333333333333
887.5,12.25,97,-250,0.6666666666666666
-162.5,-145,-5.25,-325,1
-1762.5,-39,-141.25,-225,0
1037.5,195,55.75,675,0.3333333333333333
887.5,-11,90.75,-125,0.6666666666666666
-162.5,-283,-41.25,-300,1
-1762.5,-52,-129.25,-200,0
1037.5,387,67.75,600,0.3333333333333333
887.5,-52,102.75,-100,0.6666666666666666
-162.5,-57,37.5,-300,1
-1762.5,-50,-177.5,-200,0
1037.5,273,62.5,600,0.3333333333333333
887.5,-166,77.5,-100,0.6666666666666666
-87.5,-230.25,69.25,50,1
-1687.5,-1.25,-198.75,-350,0
1112.5,189.75,51.25,750,0.3333333333333333
662.5,41.75,78.25,-450,0.6666666666666666
-12.5,-108.75,61.5,-312.5,1
-1612.5,-8.75,-37.5,-212.5,0
887.5,107.25,-125.5,837.5,0.3333333333333333
737.5,10.25,101.5,-312.5,0.6666666666666666
775,20.5,68.5,-275,1
-1625,-128.5,-58.5,-175,0
425,115.5,-118.5,725,0.3333333333333333
425,-7.5,108.5,-275,0.6666666666666666
775,201,29.5,-50,1
